FID;uuid;identifier;createdBy;createdAt0;modifiedBy;modifiedA0;MoundID;Type;Source;Descripti0;LanduseAr0;LanduseOn0;Prominence;Latitude;Longitude;Northing;Easting;Accuracy;HandheldG0;Elevation;FacingDir0;Notes;Photo;HeightMax;DiameterM0;HeightMin;DiameterM1;OtherDime0;Diameter_1;OtherDim_1;ShapeNotes;Associate0;SurfaceMa0;SampleCol0;Chronolog0;Associate1;Condition;Principal0;OtherSour0;Archaeolo0;MostRecen0;MostRecen1;RTDescrip0;CommentsA0;CRMPhotos;FID_1;uuid_1;identifi_1;createdB_1;createdA_1;modified_1;modified_2;ID;FeatureAu0;FeatureTi0;Latitude_1;Longitud_1;Northing_1;Easting_1;Accuracy_1;FeatureTy0;MapSymbol;Source_1;Note;GC;DateCompl0;Descript_1;Classific0;OtherDesc0;Picture;Mound_ID;Precision;x_proj;y_proj
126;1000011505280000000.000000000000000;8347;Adela Sobotkova;2017-09-13 06:00:56.057 GMT;Adela Sobotkova;2017-09-13 06:00:56 GMT;8347;Burial Mound;Legacy verification;was 9225;Pasture (grassland);Pasture (grassland);Hilltop;42.514312291400003;26.566593734500000;4706973.297000000300000;464396.776063251;3.0;47; ;North; ;files/app/d9defc0a-a23d-4a32-a87a-dc43dca60335_image-1505282459720.original.jpg;0;17; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;1 - pristine;Post-depositional; ;1 - full;Topographic or post-depositional;Unknown; ; ; ;1450;1000041505997664738;203521;Samuel Riley;2017-09-21 12:41:14.099 GMT;Samuel Riley;2017-09-21 12:41:14 GMT;203521;Samuel Riley;2017-09-21 15:41:03+03:00;42.5144720578044;26.5663613920447;4706991.13532358;464377.780424136; ;Mound;Hairy brown circle;TopomapRU 1:50k;1;Y;21/09/2017; ; ; ; ;8347;10;26.5666008;42.5143013
127;1000011505280000000.000000000000000;8348;Adela Sobotkova;2017-09-13 06:07:23.282 GMT;Adela Sobotkova;2017-09-13 06:14:17 GMT;8348;Burial Mound;Survey;was 9223;Pasture (grassland);Pasture (grassland);Hilltop;42.514004119100001;26.565998842700001;4706939.327999999700000;464347.731969115;3.0;48; ;West;#204;files/app/fcdd1199-c5de-4a48-b7fc-21b5d279e927_image-1505282918784.original.jpg;0;15;1; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Looting; ;1 - full;Looting;Unknown;[01,round,2,0.5, overgrown]; ;files/app/35e92e1f-3861-4b3c-a9c4-59d366a1d83b_image-1505283237121.original.jpg;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.5660000;42.5139999
128;1000011505280000000.000000000000000;8349;Adela Sobotkova;2017-09-13 06:15:18.290 GMT;Adela Sobotkova;2017-09-13 06:15:18 GMT;8349;Burial Mound;Legacy verification;was 9222;Pasture (grassland);Pasture (grassland);Hilltop;42.513819865199999;26.566133747100000;4706918.811999999900000;464358.709392862;3.0;49; ;West;#205;files/app/d55d279a-5575-4f0d-820f-8f68a1f56214_image-1505283360968.original.jpg;0;17; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Looting; ;1 - full;Looting;Unknown;[01,round,2,0.7, overgrown with modern tiles]; ; ;1454;1000041505997686621;203522;Samuel Riley;2017-09-21 12:41:36.497 GMT;Samuel Riley;2017-09-21 12:41:36 GMT;203522;Samuel Riley;2017-09-21 15:41:24+03:00;42.5135590838189;26.5664295078621;4706889.73087596;464382.857543909; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21/09/2017; ; ; ; ;8349;15;26.5660992;42.5138016
129;1000011505280000000.000000000000000;8350;Adela Sobotkova;2017-09-13 06:22:59.080 GMT;Adela Sobotkova;2017-09-13 06:27:29 GMT;8350;Burial Mound;Legacy verification;was 9226;Pasture (grassland);Pasture (grassland);Hilltop;42.514024303799999;26.564549808900001;4706942.179999999700000;464228.708245432;3.0;50; ;Northwest;#206;files/app/3ad83d2c-1cb4-4b54-9e5a-fe0eda7096c5_image-1505283810603.original.jpg;0;18; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Post-depositional; ;1 - full;Topographic or post-depositional;None;[01,round,3,0.6, overgrown]; ;files/app/a73895fc-fe46-4d20-8752-a7d1ca0742fe_image-1505284037965.original.jpg;1446;1000041505997643278;203520;Samuel Riley;2017-09-21 12:40:51.850 GMT;Samuel Riley;2017-09-21 12:40:51 GMT;203520;Samuel Riley;2017-09-21 15:40:41+03:00;42.5140691922811;26.5641274706743;4706947.34249895;464194.039635488; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21/09/2017; ; ; ; ;8350;top;26.5646000;42.5139999
130;1000011505290000000.000000000000000;8351;Adela Sobotkova;2017-09-13 06:46:50.801 GMT;Adela Sobotkova;2017-09-13 06:54:39 GMT;8351;Burial Mound;Legacy verification;hilltop mound with geodetic marker, was 9227;Scrub;Pasture (grassland);Hilltop;42.512402657700001;26.553103926199999;4706767.006000000100000;463287.502946362;3.0;51;164.1;Southwest;#211-213;files/app/d60ab4e0-4ab9-467b-8466-1fb19c641ae6_image-1505285242946.original.jpg;3;30; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Post-depositional;looting;1 - full;Looting;Last month;"[01,rect,3,2,1,fresh RT on top of mound;02, crescent,10,7,2,old overgrown Rt]"; ;files/app/4d50ad7f-2750-4d7f-9787-1e4ee6bd7206_image-1505285665439.original.jpg;1441;1000041505997588770;203518;Samuel Riley;2017-09-21 12:39:59.239 GMT;Samuel Riley;2017-09-21 12:40:12 GMT;203518;Samuel Riley;2017-09-21 15:39:46+03:00; ; ; ; ; ;Mound;Hairy black diamond with a dot inside;TopomapRU 1:50k;2;Y;21/09/2017; ; ; ; ;8351;top;26.5531006;42.5124016
131;1000011505290000000.000000000000000;8352;Adela Sobotkova;2017-09-13 07:39:34.071 GMT;Adela Sobotkova;2017-09-13 07:39:34 GMT;8352;Burial Mound;Legacy verification;was 9258;Annual agriculture;Annual agriculture;Upper slope;42.504520855499997;26.539493786700000;4705897.801000000000000;462164.675251656;3.0;52; ;South;#239;files/app/3b9f7221-2bce-49fa-a083-654f0d035f99_image-1505288373098.original.jpg;0;24; ; ; ;0.000000000000000;0.000000000000000; ; ;some Roman red fineware rims in vicinity;No; ; ;2 - minor damage;Agriculture;dirt road goes through;3 - impaired;Agriculture;Last month; ; ; ;1487;1000041505998332127;203537;Samuel Riley;2017-09-21 12:52:22.055 GMT;Samuel Riley;2017-09-21 12:52:22 GMT;203537;Samuel Riley;2017-09-21 15:52:08+03:00;42.5043884653402;26.5392095528319;4705883.22775759;462141.242587309; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21/09/2017; ; ; ; ;8352;top;26.5394993;42.5045013
132;1000011505290000000.000000000000000;8353;Adela Sobotkova;2017-09-13 07:44:58.563 GMT;Adela Sobotkova;2017-09-13 07:52:01 GMT;8353;Burial Mound;Legacy verification;was  9257, local maximum;Annual agriculture;Pasture (grassland);Hilltop (local maximum);42.503943317100003;26.539384714099999;4705833.720999999900000;462155.365455274;3.0;53; ;Southwest; ;files/app/bbf36f8c-5fe6-4593-9260-39544ef81e18_image-1505288778637.original.jpg;0;25; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Looting;agriculture;2 - good;Looting;Unknown;"[01,round,4,1,on top in the centre;02,2,1,1,see side]"; ;files/app/d68bcd80-e55a-4ff9-9adf-2cf0a3ef691d_image-1505289107015.original.jpg;1486;1000041505998308464;203536;Samuel Riley;2017-09-21 12:51:58.184 GMT;Samuel Riley;2017-09-21 12:51:58 GMT;203536;Samuel Riley;2017-09-21 15:51:47+03:00;42.5037616785097;26.5388035552223;4705813.81133264;462107.507054106; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21/09/2017; ; ; ; ;8353;top;26.5394001;42.5038986
133;1000011505290000000.000000000000000;8354;Adela Sobotkova;2017-09-13 08:27:35.647 GMT;Adela Sobotkova;2017-09-13 08:27:35 GMT;8354;Burial Mound;Legacy verification; ;Perennial agriculture (e.g orchard or vineyard);Pasture (grassland);Hilltop;42.507033752200002;26.554611007599998;4706170.196999999700000;463408.178361475;3.0;54; ;Northeast;#241;files/app/fceec07d-01c8-47e1-b661-ab471385b697_image-1505291389296.original.jpg;1;20; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Road cut;age and tiny looting(1m shallow hole);3 - impaired;Infrastructure;Unknown; ; ; ;1440;1000041505997573730;203517;Samuel Riley;2017-09-21 12:39:40.140 GMT;Samuel Riley;2017-09-21 12:39:40 GMT;203517;Samuel Riley;2017-09-21 15:39:30+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;3;Y;21/09/2017; ; ; ; ;8354;top;26.5545998;42.5070000
134;1000011505290000000.000000000000000;8355;Adela Sobotkova;2017-09-13 08:33:33.208 GMT;Adela Sobotkova;2017-09-13 08:38:27 GMT;8355;Burial Mound;Survey;200231, new mound;Perennial agriculture (e.g orchard or vineyard);Scrub;Hilltop;42.507334152600002;26.554503633700001;4706203.599000000400000;463399.53207899;3.0;55; ;North;#242;files/app/5e139eaa-e4b5-408d-8eb8-a0a7322bffcb_image-1505291652065.original.jpg;2;26; ; ; ;0.000000000000000;0.000000000000000; ; ;modern rubble;No; ; ;2 - minor damage;Other (refuse); ;2 - good;Urban development;Unknown; ;modern construction debris piled on top, picture in the next mound; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.5545006;42.5073013
135;1000011505290000000.000000000000000;8356;Adela Sobotkova;2017-09-13 08:39:31.821 GMT;Adela Sobotkova;2017-09-13 08:44:15 GMT;8356;Burial Mound;Survey; ;Perennial agriculture (e.g orchard or vineyard);Pasture (grassland);Hilltop;42.507173315700001;26.555126268799999;4706185.470999999900000;463450.5920516;3.0;56; ;East; ;files/app/3544119b-c8b6-4642-902e-a7f0a925a49a_image-1505291997175.original.jpg;2;26; ;20; ;0.000000000000000;0.000000000000000; ; ; ;No;todor thinks Roman; ;1 - pristine;Looting; ;1 - full;Looting;Unknown;[01,round,1.5,0.5]; ;files/app/50db04b7-a48a-4cd4-aa8d-921ec783d6e4_image-1505292236147.original.jpg;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.5550995;42.5071983
136;1000011505290000000.000000000000000;8357;Adela Sobotkova;2017-09-13 09:25:19.865 GMT;Adela Sobotkova;2017-09-13 09:25:19 GMT;8357;Burial Mound;Legacy verification;large mound with geodetic marker;Pasture (grassland);Pasture (grassland);Hilltop;42.509099788900002;26.576344369200001;4706390.457000000400000;465194.875233536;3.0;57;195.2;Southeast;#253;files/app/e73d4434-568b-46f0-9ff4-4e5d081edaf5_image-1505294737269.original.jpg;3;32;2; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;1 - pristine;No observation; ;1 - full;None;None; ; ; ;1460;1000041505997763726;203524;Samuel Riley;2017-09-21 12:42:54.484 GMT;Samuel Riley;2017-09-21 12:42:54 GMT;203524;Samuel Riley;2017-09-21 15:42:40+03:00;42.5089441673128;26.5758945407127;4706373.36214671;465157.833406318; ;Mound;Hairy black triangle with a dot inside;TopomapRU 1:50k;2;Y;21/09/2017; ; ; ; ;8357;top;26.5762997;42.5091019
137;1000011505300000000.000000000000000;8358;Adela Sobotkova;2017-09-13 10:09:56.328 GMT;Adela Sobotkova;2017-09-13 10:09:56 GMT;8358;Extinct Burial Mound;Legacy verification;extinct mound with a extensive pottery scatter;Annual agriculture;Annual agriculture;Lower slope;42.508898866000003;26.562919147500001;4706373.745000000100000;464091.818886941;3.0;58; ;East;#259-260;files/app/fc1bcd00-dd08-4951-9fd4-25dc7af6671e_image-1505297645631.original.jpg;0;0; ; ; ;0.000000000000000;0.000000000000000; ;Artefact scatter;fw red thin and medium thick walled pottery, lots of red stone, bricks and tile within ashy unit;Yes; ;files/app/b68b5ffd-91ac-4c8f-b27e-80e291289bbc_image-1505297784845.original.jpg;5 - extinct or near extinct;Agriculture; ;5- none or nearly none;Agriculture;Last month; ; ; ;1444;1000041505997620195;203519;Samuel Riley;2017-09-21 12:40:28.921 GMT;Samuel Riley;2017-09-21 12:40:28 GMT;203519;Samuel Riley;2017-09-21 15:40:17+03:00;42.5085152399857;26.5623135535786;4706331.40441724;464041.846626339; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21/09/2017; ; ; ; ;8358;top;26.5629005;42.5088997
138;1000011505300000000.000000000000000;8359;Adela Sobotkova;2017-09-13 10:40:53.312 GMT;Adela Sobotkova;2017-09-13 10:40:53 GMT;8359;Uncertain Mound;Survey;uncertain due to refuse ditch but has a geodetic point;Scrub;Pasture (grassland);Hilltop;42.508832056599999;26.580929070500002;4706358.856999999800000;465571.381750203;3.0;60; ;East;#262;files/app/5b766102-3f66-414b-ad55-256732d15709_image-1505299262745.original.jpg;0;23; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;1 - pristine;Post-depositional; ;2 - good;Topographic or post-depositional;Unknown; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.5809002;42.5088005
139;1000011505370000000.000000000000000;8360;Adela Sobotkova;2017-09-14 05:39:15.698 GMT;Adela Sobotkova;2017-09-14 05:39:15 GMT;8360;Burial Mound;Survey;south of the road btw Lozenetz and Venetz, not in the map;Annual agriculture;Annual agriculture;Lower slope;42.640508912300000;26.740486526000002;4720927.819000000100000;478724.581637506;3.0;61; ;East;#273;files/app/daf6cb5b-4752-4595-be5e-3a3d6abdc9cd_image-1505367560160.original.jpg;0;40;1; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture; ;3 - impaired;Agriculture;Last month; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.7404995;42.6404991
140;1000011505370000000.000000000000000;8361;Adela Sobotkova;2017-09-14 05:54:53.673 GMT;Adela Sobotkova;2017-09-14 05:54:53 GMT;8361;Burial Mound;Survey;possibly excavated mound south of road, not in the map;Annual agriculture;Annual agriculture;Lower slope;42.639430844600000;26.737831392200000;4720808.780000000300000;478506.537435267;3.0;62; ;Southwest;#274;files/app/f2486eff-13ff-4481-b18c-ac067830be6a_image-1505368492902.original.jpg;0;50; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Excavation;agriculture;4 - minimal (already excavated);Infrastructure (possibly exvavated);Other (2012 survey of joining gas pipeline); ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.7378006;42.6394005
141;1000011505370000000.000000000000000;8362;Adela Sobotkova;2017-09-14 06:17:45.855 GMT;Adela Sobotkova;2017-09-14 06:22:41 GMT;8362;Burial Mound;Legacy verification;right next to the road;Perennial agriculture (e.g orchard or vineyard);Scrub;Lower slope;42.640891194700004;26.728268962800001;4720973.412999999700000;477723.097842138;3.0;63; ;East;#275;files/app/67f632c8-8c47-4a99-9bac-d5c2d89b6b80_image-1505369896856.original.jpg;0;35;3.0; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Road cut; ;3 - impaired;Topographic or post-depositional;Unknown; ;south side cut away due to road; ;1106;1000041505988730977;203385;Samuel Riley;2017-09-21 10:12:20.296 GMT;Samuel Riley;2017-09-21 10:12:20 GMT;203385;Samuel Riley;2017-09-21 13:12:07+03:00;42.6406833092897;26.7284722856417;4720950.2759962;477739.692450315; ;Mound;Hairy brown circle;TopomapRU 1:50k;4;Y;21/09/2017; ; ; ; ;8362;top;26.7283001;42.6408997
142;1000011505370000000.000000000000000;8363;Adela Sobotkova;2017-09-14 06:27:08.378 GMT;Adela Sobotkova;2017-09-14 06:27:08 GMT;8363;Burial Mound;Legacy verification;north of road with geodetic marker;Perennial agriculture (e.g orchard or vineyard);Scrub;Upper slope;42.642041792199997;26.727372190200001;4721101.413999999900000;477649.990912826;3.0;64; ;Northwest;#278;files/app/fefd7965-f69b-469e-b523-f4ccd0586299_image-1505370430473.original.jpg;4;35; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;1 - pristine;Post-depositional; ;1 - full;Animal activity;Unknown; ; ; ;1091;1000041505988495162;203377;Samuel Riley;2017-09-21 10:08:25.500 GMT;Samuel Riley;2017-09-21 10:08:25 GMT;203377;Samuel Riley;2017-09-21 13:08:15+03:00;42.6420847333485;26.7274374340494;4721106.16499315;477655.354966244; ;Mound;Hairy black triangle with a dot inside;TopomapRU 1:50k;5;Y;21/09/2017; ; ; ; ;8363;top;26.7273998;42.6419983
143;1000011505370000000.000000000000000;8364;Adela Sobotkova;2017-09-14 06:42:35.865 GMT;Adela Sobotkova;2017-09-14 06:42:35 GMT;8364;Burial Mound;Legacy verification;mound in ploughed field;Annual agriculture;Annual agriculture;Lower slope;42.642553695899998;26.735923371799998;4721156.031999999700000;478351.194094103;3.0;65; ;East;#280-282;files/app/77ea1bc9-e72f-4139-a0b2-46821480ddb5_image-1505371653997.original.jpg;0;30; ; ; ;0.000000000000000;0.000000000000000; ; ;naturally stony soil;No; ; ;3 - damaged;Agriculture; ;3 - impaired;Agriculture;Last month; ; ; ;1094;1000041505988536295;203378;Samuel Riley;2017-09-21 10:09:05.094 GMT;Samuel Riley;2017-09-21 10:09:05 GMT;203378;Samuel Riley;2017-09-21 13:08:53+03:00;42.6423777462305;26.7360766212983;4721136.4553812;478363.696412212; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21/09/2017; ; ; ; ;8364;top;26.7359009;42.6426010
144;1000011505370000000.000000000000000;8365;Adela Sobotkova;2017-09-14 06:49:02.997 GMT;Adela Sobotkova;2017-09-14 06:49:02 GMT;8365;Burial Mound;Survey; ;Annual agriculture;Annual agriculture;Lower slope;42.642683924400004;26.736600958099999;4721170.320000000300000;478406.787179113;3.0;66; ;East;#283-284;files/app/9f2af3ff-c913-4a95-8e3c-1affcaa4373d_image-1505371742359.original.jpg;0;35;0.5;30; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture; ;3 - impaired;Agriculture;Last month; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.7366009;42.6427002
145;1000011505370000000.000000000000000;8366;Adela Sobotkova;2017-09-14 06:53:15.120 GMT;Adela Sobotkova;2017-09-14 07:02:59 GMT;8366;Burial Mound;Legacy verification;large mound;Scrub;Scrub;Lower slope;42.643046689499997;26.737335983099999;4721210.413999999900000;478467.168994802;3.0;67; ;Northeast;#285-286;files/app/7c4f13e3-d32d-4c89-92c2-7adf94403af9_image-1505372141260.original.jpg;6;45; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Excavation; ;2 - good;Other (specify in Annotation);Unknown;01, lunette,20,4,2.5,old excavation; ;files/app/977c01b3-802d-4af3-be0e-831904609dde_image-1505372564707.original.jpg;1096;1000041505988566442;203379;Samuel Riley;2017-09-21 10:09:36.737 GMT;Samuel Riley;2017-09-21 10:09:36 GMT;203379;Samuel Riley;2017-09-21 13:09:24+03:00;42.6428898812451;26.7371421945325;4721193.05155451;478451.228351081; ;Mound;Hairy brown circle;TopomapRU 1:50k;6;Y;21/09/2017; ; ; ; ;8366;top;26.7373009;42.6430016
146;1000011505370000000.000000000000000;8367;Adela Sobotkova;2017-09-14 07:09:02.795 GMT;Adela Sobotkova;2017-09-14 07:09:02 GMT;8367;Burial Mound;Survey; ;Scrub;Scrub;Lower slope;42.643822703100000;26.737591429300000;4721296.519000000300000;478488.377475988;3.0;68; ;Southwest;#287;files/app/5ab5a19d-36bf-405f-8a36-933a39185d48_image-1505373172334.original.jpg;0;35; ;30; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Construction;reservoir incorporated between two mounds, 8366-8367;2 - good;Infrastructure;Unknown; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.7376003;42.6437988
147;1000011505370000000.000000000000000;8368;Adela Sobotkova;2017-09-14 07:20:09.248 GMT;Adela Sobotkova;2017-09-14 07:20:09 GMT;8368;Burial Mound;Survey;ploughed up mound, extensive;Annual agriculture;Annual agriculture;Lower slope;42.642599881499997;26.737660787599999;4721160.718000000300000;478493.642139414;3.0;69; ;Southwest;#288;files/app/8aab64b8-b890-451d-a4f1-3d8413a6c5af_image-1505373641128.original.jpg;0;25; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Agriculture; ;4 - minimal;Agriculture;Last month; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.7376995;42.6426010
148;1000011505370000000.000000000000000;8369;Adela Sobotkova;2017-09-14 07:25:30.038 GMT;Adela Sobotkova;2017-09-14 07:25:30 GMT;8369;Burial Mound;Survey; ;Annual agriculture;Annual agriculture;Lower slope;42.642822506199998;26.738948425800000;4721185.111999999700000;478599.278044284;3.0;70; ;Northeast;#289;files/app/9683e93c-5452-4028-94dc-2f400d2c9aa5_image-1505373970987.original.jpg;0;25; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture; ;3 - impaired;Agriculture;Last month; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.7388992;42.6427994
149;1000011505370000000.000000000000000;8370;Adela Sobotkova;2017-09-14 07:29:53.132 GMT;Adela Sobotkova;2017-09-14 07:29:53 GMT;8370;Burial Mound;Survey;decent mound with a soilmark;Annual agriculture;Annual agriculture;Lower slope;42.642834270599998;26.738765155799999;4721186.463999999700000;478584.257796104;3.0;71; ;North;#290;files/app/cab60457-cf9e-4811-a4c4-c26d69e823c7_image-1505374217325.original.jpg;0;30; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Agriculture; ;2 - good;Agriculture;Last month; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.7388000;42.6427994
150;1000011505370000000.000000000000000;8371;Adela Sobotkova;2017-09-14 07:36:14.336 GMT;Adela Sobotkova;2017-09-14 07:36:14 GMT;8371;Burial Mound;Survey;ploughed up mound in stony field;Annual agriculture;Annual agriculture;Lower slope;42.643502890500002;26.739287495500001;4721260.576999999600000;478627.307509921;3.0;72; ;Northeast;#291;files/app/5421a2e7-c3cc-4ab6-bab9-ffbb7fdb679b_image-1505374579322.original.jpg;0;33; ; ; ;0.000000000000000;0.000000000000000; ;Loose artefacts;Roman tiny sherds;No; ; ;3 - damaged;Agriculture; ;2 - good;Agriculture;Last month; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.7392998;42.6435013
151;1000011505370000000.000000000000000;8372;Adela Sobotkova;2017-09-14 07:41:42.620 GMT;Adela Sobotkova;2017-09-14 07:41:42 GMT;8372;Burial Mound;Legacy verification;large mound covered by scrub;Annual agriculture;Scrub;Lower slope;42.642988714099999;26.739533008399999;4721203.419999999900000;478647.258352481;3.0;73; ;South;#292;files/app/a606bfcf-3606-4153-9273-793395470166_image-1505374910162.original.jpg;0;30; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;1 - pristine;Post-depositional; ;1 - full;Topographic or post-depositional;Unknown; ; ; ;1098;1000041505988587912;203380;Samuel Riley;2017-09-21 10:10:00.089 GMT;Samuel Riley;2017-09-21 10:10:00 GMT;203380;Samuel Riley;2017-09-21 13:09:46+03:00;42.6428503843202;26.7395593252797;4721188.05275355;478649.368477895; ;Mound;Hairy brown circle;TopomapRU 1:50k;5;Y;21/09/2017; ; ; ; ;8372;top;26.7395000;42.6430016
152;1000011505380000000.000000000000000;8373;Adela Sobotkova;2017-09-14 07:56:42.598 GMT;Adela Sobotkova;2017-09-14 07:56:42 GMT;8373;Burial Mound;Survey; ;Annual agriculture;Annual agriculture;Lower slope;42.643247323799997;26.740067410100000;4721232.001000000200000;478691.156182184;3.0;74; ;Northeast;#298;files/app/3dd6d0a0-d7cd-4c65-87f5-c2f705cacf5f_image-1505375834401.original.jpg;1;26; ; ; ;0.000000000000000;0.000000000000000; ;Loose artefacts;Roman base with decoration;Yes; ;files/app/6abc4db3-c0db-4446-a3bb-cd13f92f4452_image-1505376013423.original.jpg;3 - damaged;Agriculture; ;3 - impaired;Agriculture;Last month; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.7401009;42.6431999
153;1000011505380000000.000000000000000;8374;Adela Sobotkova;2017-09-14 08:04:15.449 GMT;Adela Sobotkova;2017-09-14 08:04:15 GMT;8374;Burial Mound;Survey; ;Annual agriculture;Annual agriculture;Lower slope;42.643266034200003;26.740772409100000;4721233.901999999800000;478748.957237801;3.0;75; ;Northeast;#300;files/app/2e76121f-2429-4f4b-b8cb-fd5e6dd42f9b_image-1505376282464.original.jpg;0;25; ; ; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture; ;2 - good;Agriculture;Last month; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.7408009;42.6432991
154;1000011505380000000.000000000000000;8375;Adela Sobotkova;2017-09-14 08:07:32.279 GMT;Adela Sobotkova;2017-09-14 08:07:32 GMT;8375;Burial Mound;Legacy verification;RM villa necropolis;Annual agriculture;Annual agriculture;Lower slope;42.643372206000002;26.741424456800001;4721245.526999999800000;478802.447080859;3.0;76; ;Northeast;#301;files/app/8482e298-d029-4bc0-8e8e-8aa84899dc23_image-1505376563761.original.jpg;0;26; ; ; ;0.000000000000000;0.000000000000000; ;Loose artefacts;red fw;Yes;Roman?; ;3 - damaged;Agriculture; ;3 - impaired;Agriculture;Last month; ; ; ;1101;1000041505988625534;203382;Samuel Riley;2017-09-21 10:10:34.560 GMT;Samuel Riley;2017-09-21 10:10:34 GMT;203382;Samuel Riley;2017-09-21 13:10:23+03:00;42.6431786335385;26.7414141490177;4721224.03546199;478801.53635326; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21/09/2017; ; ; ; ;8375;top;26.7413998;42.6433983
155;1000011505380000000.000000000000000;8376;Adela Sobotkova;2017-09-14 08:14:37.902 GMT;Adela Sobotkova;2017-09-14 08:14:37 GMT;8376;Burial Mound;Survey;Roman villa necropolis;Annual agriculture;Annual agriculture;Lower slope;42.643179946600000;26.742204347500000;4721223.984000000200000;478866.316068807;128.0;77; ;East;#302-305;files/app/837ebe0a-239b-4990-ac28-298e779a19ac_image-1505376903465.original.jpg;0;28; ; ; ;0.000000000000000;0.000000000000000; ;Loose artefacts;table amphora handle, base,..rims fit together;Yes; ;files/app/8ce03ed4-4ddc-493b-bcc5-cd4dfcccb1f3_image-1505377254402.original.jpg - files/app/fcc4bcc7-2d95-4a5e-97b6-89a16cd3b02b_image-1505377070361.original.jpg;2 - minor damage;Agriculture; ;2 - good;Agriculture;Last month; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;26.7422009;42.6431999
