FID;uuid;identifier;createdBy;createdAt0;modifiedBy;modifiedA0;MoundID;Type;Source;Descripti0;LanduseAr0;LanduseOn0;Prominence;Latitude;Longitude;Northing;Easting;Accuracy;HandheldG0;Elevation;FacingDir0;Notes;Photo;HeightMax;DiameterMax;HeightMin;DiameterMin;OtherDime0;Diameter_1;OtherDim_1;ShapeNotes;Associate0;SurfaceMa0;SampleCol0;Chronolog0;Associate1;Condition;Principal0;OtherSour0;Archaeolo0;MostRecen0;MostRecen1;RTDescrip0;CommentsA0;CRMPhotos;FID_1;uuid_1;identifi_1;createdB_1;createdA_1;modified_1;modified_2;ID;FeatureAu0;FeatureTi0;Latitude_1;Longitud_1;Northing_1;Easting_1;Accuracy_1;FeatureTy0;MapSymbol;Source_1;Note;GC;DateCompl0;Descript_1;Classific0;OtherDesc0;Picture;Mound_ID;Precision;x_proj;y_proj
49;1.000.021.505.720.000.000.000.000.000.000.000;8177;Bara Weissova;2017-09-18 08:02:42.562 GMT;Bara Weissova;2017-09-18 08:02:42 GMT;8177;Burial Mound;Survey; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.306.798.735.599.900;26.218.865.620.300.000;4.684.136.057.000.000.000.000;435.619.792.949.218;3.0;78; ;North; ;files/app/9625eabb-20c0-476b-b0b5-ba37e2246eb2_image-1505721953401.original.jpg;0;55; ;50; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture; ;2 - good;Agriculture;Unknown; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;262.189.007;423.068.008
50;1.000.021.505.720.000.000.000.000.000.000.000;8178;Bara Weissova;2017-09-18 08:09:28.637 GMT;Bara Weissova;2017-09-18 08:09:28 GMT;8178;Burial Mound;Survey; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.307.204.140.800.000;26.218.473.667.200.000;4.684.181.367.999.990.000.000;435.587.901.748.859;3.0;79; ;North; ;files/app/04ab2a5e-2879-447d-a523-262e0900f25b_image-1505722305643.original.jpg;0;50; ;45; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture; ;3 - impaired;Agriculture;Last year; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;262.185.001;423.072.014
51;1.000.021.505.800.000.000.000.000.000.000.000;8188;Bara Weissova;2017-09-19 06:20:04.204 GMT;Bara Weissova;2017-09-19 06:20:45 GMT;8188;Burial Mound;Legacy verification; ;Annual agriculture;Other (explain in notes) (mix of agriculture, pasture, and bush);Valley Bottom or Plain;42.425.875.761.400.000;26.702.495.104.200.000;4.697.105.349.999.990.000.000;475.526.311.090.777;3.0;88; ;West;top mixture of agriculture, pasture and bush. concrete pole on top and elevation marker;files/app/0545ce74-cc01-4c1f-9a9e-f808e8c6cef6_image-1505802260054.original.jpg;0;45; ;40; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture; ;4 - minimal;Agriculture;Last year; ; ; ;1329;1,00E+18;204083;Briana Barton;2017-09-21 11:59:53.059 GMT;Briana Barton;2017-09-21 11:59:53 GMT;204083;Briana Barton;2017-09-21 14:59:45+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21-09-2017; ; ; ; ;8188;top;267.024.994;424.258.995
52;1.000.021.505.800.000.000.000.000.000.000.000;8189;Bara Weissova;2017-09-19 06:26:50.088 GMT;Bara Weissova;2017-09-19 06:28:17 GMT;8189;Burial Mound;Legacy verification; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.425.400.489.700.000;26.702.867.881.400.000;4.697.052.469.999.990.000.000;475.556.792.310.623;3.0;89; ;West; ;files/app/e5d14e8c-ebf4-4594-97a2-75892ab75c8f_image-1505802553621.original.jpg;0;35; ;30; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Agriculture; ;4 - minimal;Agriculture;Last year; ; ; ;1330;1,00E+18;204084;Briana Barton;2017-09-21 12:00:09.691 GMT;Briana Barton;2017-09-21 12:00:11 GMT;204084;Briana Barton;2017-09-21 15:00:03+03:00;424.252.473.902.709;267.032.488.447.079;469.703.536.026.028;475.588.072.410.372; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21-09-2017; ; ; ; ;8189;top;267.028.999;424.253.998
53;1.000.021.505.800.000.000.000.000.000.000.000;8190;Bara Weissova;2017-09-19 06:32:06.165 GMT;Bara Weissova;2017-09-19 06:34:03 GMT;8190;Burial Mound;Legacy verification; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.424.940.023.100.000;26.702.586.797.900.000;4.697.001.422.000.000.000.000;475.533.490.247.538;3.0;90; ;West; ;files/app/63af1997-182d-4b3d-9994-5407946183eb_image-1505802933632.original.jpg;0;50; ;40; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Agriculture; ;4 - minimal;Agriculture;Last year; ; ; ;1332;1,00E+18;204085;Briana Barton;2017-09-21 12:00:30.566 GMT;Briana Barton;2017-09-21 12:01:10 GMT;204085;Briana Barton;2017-09-21 15:00:24+03:00;42.424.751.561.988;267.030.130.770.433;469.698.037.264.876;475.568.484.688.636; ;Mound;Hairy brown circle;TopomapRU 1:50k; ;Y;21-09-2017; ; ; ; ;8190;20;267.026.005;424.249.001
54;1.000.021.505.800.000.000.000.000.000.000.000;8191;Bara Weissova;2017-09-19 06:38:54.185 GMT;Bara Weissova;2017-09-19 06:38:54 GMT;8191;Burial Mound;Survey; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.424.530.545.899.900;26.702.477.972.899.900;4.696.955.985.999.990.000.000;475.524.378.547.698;3.0;91; ;West; ;files/app/5a2b0558-ca38-4cb3-a59e-6f799ffa5fe0_image-1505803214888.original.jpg;0;40; ;35; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Agriculture; ;4 - minimal;Agriculture;Last year; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;267.024.994;424.244.995
55;1.000.021.505.800.000.000.000.000.000.000.000;8192;Bara Weissova;2017-09-19 06:49:22.117 GMT;Bara Weissova;2017-09-19 06:49:22 GMT;8192;Surface Scatter;Survey;Surface scatter;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.425.436.530.299.900;26.702.016.104.100.000;4.697.056.717.000.000.000.000;475.486.735.880.461;3.0;92; ;East; ;files/app/9471fef7-c27f-4ff4-a1e5-4280b53180db_image-1505804323521.original.jpg;0;0; ; ; ;0.000000000000000;0.000000000000000; ;Artefact scatter; ;No;Roman;files/app/9ee53b28-28b9-4628-bfb3-7aff8d9c9bee_image-1505804264796.original.jpg - files/app/bf815fab-c8ca-4995-8334-cfa600a7abfd_image-1505804248566.original.jpg;0 - No observation;Agriculture; ;No observation;Agriculture;Last week; ;large\spread out scatter of pottery in ploughed areas. possibly connected to large necropolis; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;267.019.997;424.253.998
56;1.000.021.505.810.000.000.000.000.000.000.000;8193;Bara Weissova;2017-09-19 07:38:02.288 GMT;Bara Weissova;2017-09-19 07:39:10 GMT;8193;Burial Mound;Legacy verification; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.407.722.449.200.000;26.695.749.043.799.900;4.695.091.625.000.000.000.000;474.964.138.554.374;3.0;93; ;West; ;files/app/9103f2f3-2664-41ed-be5c-c63a161341fa_image-1505807034961.original.jpg;0;45; ;40; ;0.000000000000000;0.000000000000000; ;Artefact scatter;iron age;No; ;files/app/74835957-231a-4631-9c26-b73889f8d1aa_image-1505806811785.original.jpg - files/app/c4876886-a97a-4a8c-8920-68f1ff9985e0_image-1505806902492.original.jpg;5 - extinct or near extinct;Agriculture; ;4 - minimal;Agriculture;Last month; ; ; ;1530;1,00E+18;204112;Briana Barton;2017-09-21 13:04:25.608 GMT;Briana Barton;2017-09-21 13:04:33 GMT;204112;Briana Barton;2017-09-21 16:04:19+03:00;4.240.736.604.282;266.960.943.142.492;469.505.194.885.429;474.992.408.242.368; ;Mound;Hairy brown circle;TopomapRU 1:50k;1;Y;21-09-2017; ; ; ; ;8193;top;266.956.997;424.076.996
57;1.000.021.505.810.000.000.000.000.000.000.000;8194;Bara Weissova;2017-09-19 07:58:00.464 GMT;Bara Weissova;2017-09-19 07:59:22 GMT;8194;Burial Mound;Legacy verification; ;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.395.453.359.500.000;26.694.865.957.299.900;4.693.729.565.000.000.000.000;474.886.579.689.725;3.0;97; ;North; ;files/app/0d89bf85-008b-4d6d-b7ea-6a92656f7d55_image-1505808254117.original.jpg;0;25; ;12; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;5 - extinct or near extinct;Looting; ;4 - minimal;Looting;Unknown;"01,half circle,25,13,1.2,eastern half of mound destroyed by machine; 02,square,1,0.2,manual excavation; 03, irregular, 4,2,1,manual excavation; 04, square, 1,0.5, manual excavation"; ;files/app/0dc34113-d8b4-4cbb-8c81-eba82e2b0bf7_image-1505808106010.original.jpg - files/app/3f45640f-4f70-45c0-bcea-91adc93b4470_image-1505808140322.original.jpg;1615;1,00E+18;204127;Briana Barton;2017-09-21 13:44:14.991 GMT;Briana Barton;2017-09-21 13:44:14 GMT;204127;Briana Barton;2017-09-21 16:44:03+03:00;42.395.482.347.164;266.950.034.022.733;469.373.274.303.492;474.897.903.372.266; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21-09-2017; ; ; ; ;8194;top;266.949.005;423.955.002
58;1.000.021.505.810.000.000.000.000.000.000.000;8195;Bara Weissova;2017-09-19 08:07:08.859 GMT;Bara Weissova;2017-09-19 08:10:41 GMT;8195;Burial Mound;Survey;SE part of mound agricultured;Pasture (grassland);Pasture (grassland);Valley Bottom or Plain;42.396.074.722.800.000;26.695.634.007.500.000;4.693.798.332.000.000.000.000;474.950.039.631.305;3.0;95; ;North; ;files/app/38ca9d36-2a54-4c2e-bef4-c633ad71d24c_image-1505808808358.original.jpg;2;35; ;25; ;0.000000000000000;0.000000000000000; ; ;stones from grave loose;No; ; ;3 - damaged;Looting; ;4 - minimal;Looting;Unknown;"01,irregular,4.5,2,1,manual excavation; 02,irregular,5,3,1, manual excavation"; ;files/app/2ada1233-06ba-4213-90b5-f17b12982d63_image-1505808587570.original.jpg - files/app/875ea7fe-72bb-4140-abeb-6967b2c0442c_image-1505808659946.original.jpg - files/app/87920b3b-bbf1-4687-85a6-953e389038d8_image-1505808726464.original.jpg;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;266.956.005;423.960.991
59;1.000.021.505.810.000.000.000.000.000.000.000;8196;Bara Weissova;2017-09-19 08:25:18.606 GMT;Bara Weissova;2017-09-19 08:26:47 GMT;8196;Burial Mound;Legacy verification; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.391.707.148.099.900;26.707.938.046.399.900;4.693.309.818.000.000.000.000;475.961.021.972.065;3.0;96; ;West; ;files/app/ed34469e-1005-482c-92e8-27f4552d9cdb_image-1505809708456.original.jpg;0;55; ;50; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Agriculture; ;4 - minimal;Agriculture;Last month; ; ; ;1618;1,00E+18;204128;Briana Barton;2017-09-21 13:44:57.260 GMT;Briana Barton;2017-09-21 13:44:57 GMT;204128;Briana Barton;2017-09-21 16:44:48+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;1;Y;21-09-2017; ; ; ; ;8196;top;267.078.991;423.917.007
60;1.000.021.505.810.000.000.000.000.000.000.000;8197;Bara Weissova;2017-09-19 08:59:41.240 GMT;Bara Weissova;2017-09-19 09:01:03 GMT;8197;Burial Mound;Legacy verification; ;Perennial agriculture (e.g orchard or vineyard);Perennial agriculture (e.g orchard or vineyard);Valley Bottom or Plain;42.392.847.572.299.900;26.722.058.542.199.900;4.693.432.548.999.990.000.000;477.123.663.989.639;3.0;97; ;West; ;files/app/fb208b7f-0569-41e6-aa8f-b5076630711c_image-1505811766530.original.jpg;0;40; ;30; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Agriculture; ;4 - minimal;Agriculture;Last year; ; ; ;1625;1,00E+18;204131;Briana Barton;2017-09-21 13:45:55.306 GMT;Briana Barton;2017-09-21 13:46:09 GMT;204131;Briana Barton;2017-09-21 16:45:47+03:00;423.928.545.310.431;267.224.833.846.043;469.343.320.732.405;477.158.633.746.614; ;Mound;Hairy brown circle;TopomapRU 1:50k;1;Y;21-09-2017; ; ; ; ;8197;top;267.220.993;423.927.994
61;1.000.021.505.810.000.000.000.000.000.000.000;8198;Bara Weissova;2017-09-19 09:25:02.542 GMT;Bara Weissova;2017-09-19 09:32:20 GMT;8198;Burial Mound;Legacy verification; ;Annual agriculture;Scrub;Valley Bottom or Plain;42.397.345.341.899.900;26.714.070.364.000.000;4.693.934.146.999.990.000.000;476.467.866.428.011;3.0;98; ;West; ;files/app/2042185d-1dd3-4c52-b040-9da3e506f25a_image-1505813891171.original.jpg;7;55; ;55; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Looting; ;4 - minimal;Looting;Last year;01,rectangle,4,2,8, uneven surface soil from RT?; ;files/app/1775978b-c22d-4197-b648-d7e53f0150fd_image-1505813314158.original.jpg - files/app/ba9afbe1-a628-4caf-adc9-6fa4d95f6497_image-1505813673236.original.jpg;1621;1,00E+18;204130;Briana Barton;2017-09-21 13:45:18.195 GMT;Briana Barton;2017-09-21 13:45:18 GMT;204130;Briana Barton;2017-09-21 16:45:10+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;5;Y;21-09-2017; ; ; ; ;8198;top;267.140.999;423.973.007
62;1.000.021.505.810.000.000.000.000.000.000.000;8199;Bara Weissova;2017-09-19 09:42:43.054 GMT;Bara Weissova;2017-09-19 09:43:29 GMT;8199;Burial Mound;Legacy verification; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.397.933.906.799.900;26.713.511.770.499.900;4.693.999.655.000.000.000.000;476.422.114.238.007;3.0;99; ;West; ;files/app/7bd1f794-65b7-4eff-9200-180df3bc0208_image-1505814339314.original.jpg;2;60; ;55; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Agriculture; ;4 - minimal;Agriculture;Last year; ; ; ;1620;1,00E+18;204129;Briana Barton;2017-09-21 13:45:06.936 GMT;Briana Barton;2017-09-21 13:45:06 GMT;204129;Briana Barton;2017-09-21 16:45:00+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21-09-2017; ; ; ; ;8199;top;267.134.991;423.978.996
63;1.000.021.505.890.000.000.000.000.000.000.000;8200;Bara Weissova;2017-09-20 06:11:22.155 GMT;Bara Weissova;2017-09-20 06:25:29 GMT;8200;Burial Mound;Legacy verification; ;Forest;Forest;Hilltop;42.274.219.331.399.900;26.582.218.651.000.000;4.680.307.702.999.990.000.000;465.549.260.162.127;3.0;100; ;East; ;files/app/3c19ee6d-7781-4542-a330-df93823d79bb_image-1505888249269.original.jpg;0;10; ;10; ;0.000000000000000;0.000000000000000; ;Artefact scatter;fragment of a tile;No;Hellenistic;files/app/af3e8aba-2bfe-407d-ba18-ba1740cae067_image-1505888614158.original.jpg - files/app/ef55a8e0-bc3b-403a-bba8-2db57377f364_image-1505888624956.original.jpg;5 - extinct or near extinct;Looting; ;5- none or nearly none;Agriculture;Unknown;"01, circle,4,8,1, manual excavation of almost entire mound; 02, rectangle,5,2,0.4, off main site of mound";only U shape margin of the mound left after looting;files/app/014ef6a8-a3d1-4f4a-a7d5-a89743c217c7_image-1505888285793.original.jpg - files/app/c975a1ea-40ad-4bbe-99b3-5714349eaeb3_image-1505888443184.original.jpg;1347;1,00E+18;204559;Isaac Roberts;2017-09-21 12:06:07.141 GMT;Isaac Roberts;2017-09-21 12:06:07 GMT;204559;Isaac Roberts;2017-09-21 15:05:54+03:00;422.739.936.799.418;265.823.341.861.742;46.802.826.016.328;465.558.664.486.315; ;Mound;Hairy brown circle;TopomapRU 1:50k;3;Y;21-09-2017; ; ; ; ;8200;top;265.821.991;422.742.004
64;1.000.021.505.890.000.000.000.000.000.000.000;8201;Bara Weissova;2017-09-20 06:43:18.278 GMT;Bara Weissova;2017-09-20 06:50:59 GMT;8201;Burial Mound;Legacy verification; ;Forest;Forest; ;42.279.975.794.800.000;26.602.318.992.499.900;4.680.938.934.999.990.000.000;467.209.744.995.038;3.0;101; ;North;overgrown, impossible to be pictured in a better way;files/app/127d47df-cf89-419b-8f25-6a2aaee3e2f0_image-1505890191028.original.jpg - files/app/fd0b490d-b85e-4a5a-a27d-e6848905a44d_image-1505890484610.original.jpg;8;45; ;45; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Looting; ;1 - full;Looting;Last year;01, rectangle,2.5,1.5,2.5, manual excavation; ; ;1452;1,00E+18;204581;Isaac Roberts;2017-09-21 12:41:34.338 GMT;Isaac Roberts;2017-09-21 12:41:34 GMT;204581;Isaac Roberts;2017-09-21 15:41:20+03:00;422.798.992.427.187;266.021.635.310.182;468.093.049.487.545;467.196.886.899.896; ;Mound;Hairy brown circle;TopomapRU 1:50k;7;Y;21-09-2017; ; ; ; ;8201;top;266.023.006;422.799.988
65;1.000.021.505.890.000.000.000.000.000.000.000;8202;Bara Weissova;2017-09-20 06:58:35.655 GMT;Bara Weissova;2017-09-20 07:01:26 GMT;8202;Burial Mound;Legacy verification; ;Forest;Scrub;Hilltop;42.280.596.261.299.900;26.601.676.655.999.900;4.681.008.076.000.000.000.000;4.671.571.041.382;96.0;102; ;East;impossible to make better photo;files/app/2e434494-5bee-46a0-be45-1784192f441f_image-1505891218230.original.jpg;5;45; ;45; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Looting; ;2 - good;Unknown;Unknown;"01, rectangle,8,4,1, manual excavation; 02, rectangle,5,6,1, manual excavation; 03, square, 1.5,1, manual excavation"; ;files/app/46ecc343-10a4-4fc9-a4b4-7897223b5637_image-1505891062018.original.jpg - files/app/cde1752a-b6e5-4dee-a770-8d12c82a78a2_image-1505890896270.original.jpg;1449;1,00E+18;204580;Isaac Roberts;2017-09-21 12:41:10.550 GMT;Isaac Roberts;2017-09-21 12:41:10 GMT;204580;Isaac Roberts;2017-09-21 15:40:58+03:00;422.804.591.295.042;266.011.622.868.172;468.099.304.779.357;467.114.621.557.713; ;Mound;Hairy brown circle;TopomapRU 1:50k;3;Y;21-09-2017; ; ; ; ;8202;40;266.016.998;422.806.015
66;1.000.021.505.890.000.000.000.000.000.000.000;8203;Bara Weissova;2017-09-20 07:21:34.194 GMT;Bara Weissova;2017-09-20 07:23:11 GMT;8203;Burial Mound;Legacy verification; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.281.289.011.900.000;26.610.049.322.100.000;4.681.081.799.999.990.000.000;467.847.807.584.761;3.0;103; ;Northwest; ;files/app/b0c713ce-95b2-4f40-a105-9a7f9f3b907e_image-1505892284980.original.jpg;0;50; ;45; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;4 - seriously damaged;Agriculture; ;4 - minimal;Agriculture;Last month; ; ; ;1447;1,00E+18;204579;Isaac Roberts;2017-09-21 12:40:52.276 GMT;Isaac Roberts;2017-09-21 12:40:52 GMT;204579;Isaac Roberts;2017-09-21 15:40:38+03:00;422.812.149.032.395;266.098.801.131.527;46.810.736.352.596;467.833.818.263.332; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21-09-2017; ; ; ; ;8203;top;266.100.998;422.812.996
67;1.000.021.505.890.000.000.000.000.000.000.000;8204;Bara Weissova;2017-09-20 07:46:36.960 GMT;Bara Weissova;2017-09-20 07:50:19 GMT;8204;Burial Mound;Legacy verification; ;Annual agriculture;Scrub;Valley Bottom or Plain;42.334.187.901.400.000;26.575.120.265.500.000;4.686.969.212.000.000.000.000;464.997.152.763.812;3.0;104; ;Southeast; ;files/app/cef718a9-959e-4e47-8ce3-45c32cf2ed83_image-1505894141148.original.jpg;0;30; ;20; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Anthropogenic; ;3 - impaired;Unknown;Unknown;01, irregular,1,1.5, manual excavation; ;files/app/ce40c08d-bb71-4237-8183-198e885f8dd3_image-1505894053228.original.jpg;1870;1,00E+18;204195;Briana Barton;2017-09-21 14:54:36.587 GMT;Briana Barton;2017-09-21 14:54:42 GMT;204195;Briana Barton;2017-09-21 17:54:29+03:00;423.341.903.563.187;265.748.306.266.367;468.696.960.424.738;464.973.292.779.557; ;Mound;Hairy black diamond with a dot inside;TopomapRU 1:50k; ;Y;21-09-2017; ; ; ; ;8204;top;265.750.999;423.342.018
68;1.000.021.505.900.000.000.000.000.000.000.000;8205;Bara Weissova;2017-09-20 08:11:45.040 GMT;Bara Weissova;2017-09-20 08:19:49 GMT;8205;Burial Mound;Legacy verification; ;Annual agriculture;Pasture (grassland);Valley Bottom or Plain;42.338.046.564.599.900;26.584.388.071.599.900;4.687.393.889.999.990.000.000;465.762.756.411.585;3.0;10; ;South; ;files/app/d70927dc-dc5d-462d-92f3-c5185d47b5c4_image-1505895552682.original.jpg;0;20; ;20; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Other (hiding place for a tank during war ); ;4 - minimal;Not available;Unknown;01,half circle,5,12,1.5,housed tank during the war; ;files/app/12e9d517-01f6-40e3-98b8-f4e67a7e4a91_image-1505895414320.original.jpg - files/app/cae048c2-d7b6-4a9e-8de5-5d04efc5db58_image-1505895641453.original.jpg;1872;1,00E+18;204196;Briana Barton;2017-09-21 14:55:03.851 GMT;Briana Barton;2017-09-21 14:55:03 GMT;204196;Briana Barton;2017-09-21 17:54:51+03:00;423.379.884.909.921;265.845.783.203.123;468.738.736.540.058;465.778.397.243.475; ;Mound;Hairy brown circle;TopomapRU 1:50k;3;Y;21-09-2017; ; ; ; ;8205;top;265.844.002;423.380.013
69;1.000.021.505.900.000.000.000.000.000.000.000;8206;Bara Weissova;2017-09-20 08:55:20.936 GMT;Bara Weissova;2017-09-20 08:57:08 GMT;8206;Burial Mound;Legacy verification;elevation marker on the top, Dyadodinkovata mogila;Annual agriculture;Pasture (grassland);Valley Bottom or Plain;42.365.192.292.400.000;26.612.809.118.300.000;4.690.396.993.999.990.000.000;468.117.748.751.793;3.0;105; ;East; ;files/app/ef4fea1f-6c6f-478a-82f5-72888f9d72f3_image-1505898276011.original.jpg;0;60; ;60; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;2 - minor damage;Looting; ;3 - impaired;Looting;Unknown;01, rectangle,12,4,1, manual excavation; ;files/app/0d60f6f1-92c9-483f-beff-453d46a3a70c_image-1505897971196.original.jpg - files/app/a08b08d0-1a6c-4597-9142-c0b1e7929d97_image-1505898478195.original.jpg;1725;1,00E+18;204162;Briana Barton;2017-09-21 14:20:25.318 GMT;Briana Barton;2017-09-21 14:20:33 GMT;204162;Briana Barton;2017-09-21 17:20:18+03:00; ; ; ; ; ;Mound;Hairy black triangle with a dot inside;TopomapRU 1:50k; ;Y;21-09-2017; ; ; ; ;8206;top;266.128.006;423.652.000
70;1.000.021.505.900.000.000.000.000.000.000.000;8207;Bara Weissova;2017-09-20 09:25:18.339 GMT;Bara Weissova;2017-09-20 09:25:47 GMT;8207;Burial Mound;Legacy verification;Trapezanskata mogila;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.364.879.886.099.900;26.589.216.288.999.900;4.690.371.422.000.000.000.000;466.174.886.423.624;3.0;106;158.5;West; ;files/app/21d98057-75a7-4e1a-8e92-6d6800c615b2_image-1505899680720.original.jpg;0;60; ;50; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture; ;3 - impaired;Agriculture;Last month; ; ; ;1734;1,00E+18;204165;Briana Barton;2017-09-21 14:21:48.187 GMT;Briana Barton;2017-09-21 14:21:53 GMT;204165;Briana Barton;2017-09-21 17:21:41+03:00;423.647.803.512.199;265.891.380.992.604;469.036.040.078.791;466.168.394.643.493; ;Mound;Hairy black diamond with a dot inside;TopomapRU 1:50k; ;Y;21-09-2017; ; ; ; ;8207;top;265.891.991;423.648.987
71;1.000.021.505.900.000.000.000.000.000.000.000;8208;Bara Weissova;2017-09-20 10:09:09.540 GMT;Bara Weissova;2017-09-20 10:10:45 GMT;8208;Burial Mound;Legacy verification; ;Annual agriculture;Annual agriculture;Valley Bottom or Plain;42.368.802.678.400.000;26.556.436.152.000.000;4.690.820.554.999.990.000.000;463.477.943.070.717;3.0;107; ;Northeast; ;files/app/56047f6c-5f2d-4995-9ae4-4351a0bd27f7_image-1505902333037.original.jpg;0;60; ;60; ;0.000000000000000;0.000000000000000; ; ; ;No; ; ;3 - damaged;Agriculture; ;3 - impaired;Agriculture;Last month; ; ; ;1741;1,00E+18;204166;Briana Barton;2017-09-21 14:23:09.930 GMT;Briana Barton;2017-09-21 14:23:09 GMT;204166;Briana Barton;2017-09-21 17:22:59+03:00; ; ; ; ; ;Mound;Hairy brown circle;TopomapRU 1:50k;2;Y;21-09-2017; ; ; ; ;8208;90;265.564.003;423.688.011
72;1.000.021.505.910.000.000.000.000.000.000.000;8209;Bara Weissova;2017-09-20 10:59:25.540 GMT;Bara Weissova;2017-09-20 11:04:29 GMT;8209;Burial Mound;Legacy verification;elevation marker on top. some sort of house construction in side of mound. bed on top of the house. newspaper dated year 2000;Pasture (grassland);Pasture (grassland);Hilltop;42.357.359.934.199.900;26.525.915.632.600.000;4.689.563.557.000.000.000.000;4.609.578.623.188;3.0;108; ;South;second picture facing North;files/app/87882364-e9fd-4dcd-9b21-e8600dddd749_image-1505905972278.original.jpg - files/app/da33893a-ed8c-435f-8e94-52adabec526e_image-1505905823650.original.jpg;0;30; ;20; ;0.000000000000000;0.000000000000000;measurements not including house; ; ;No; ; ;3 - damaged;Construction; ;2 - good;Unknown;Unknown;01, rectangle,3,1.5,0.4, manual excavation; ;files/app/988b41bf-85ee-4b0b-a416-06f4d36ee97e_image-1505905584740.original.jpg;1752;1,00E+18;204170;Briana Barton;2017-09-21 14:25:26.080 GMT;Briana Barton;2017-09-21 14:25:26 GMT;204170;Briana Barton;2017-09-21 17:25:12+03:00;423.571.238.652.056;265.255.627.175.681;468.953.750.716.413;460.928.652.504.308; ;Mound;Hairy brown circle;TopomapRU 1:50k;4;Y;21-09-2017; ; ; ; ;8209;20;265.258.999;423.573.990
